Study,Reward,Bonus,Started At,Completed At,Completion Code,Status,Applicable Terms
[136a4f2b]   Imp-Powered Iconography Evaluation,$9.45,$0.00,2026-01-31 12:45:11.554000,2026-01-31 12:55:44.881000,ICON-IMP,APPROVED,Participant Terms
[bbcda056]   Assessing the Stoicism of Gargoyles,$9.45,$0.00,2026-01-31 12:10:33.221000,2026-01-31 12:20:15.664000,DOWN-SPOUT,APPROVED,Participant Terms
Investment behaviors in the Cabbage/Gold Standard,£0.85,£0.00,2026-01-31 10:45:55.998000,2026-01-31 10:55:22.331000,MOIST1,APPROVED,Participant Terms
Survey on the flatness of the Earth (Elephant Support Theory),$5.02,$0.00,2026-01-31 01:25:44.112000,2026-01-31 01:40:15.556000,ATUIN-4,APPROVED,Participant Terms
Recognizing Sarcasm in Footnotes,$5.02,$0.00,2026-01-31 01:10:22.887000,2026-01-31 01:25:33.992000,PRATCH-1,APPROVED,Participant Terms
[87ffd680]   Quantum Weather Butterfly Chaos Theory Test,$9.45,$0.00,2026-01-31 00:20:55.664000,,,RETURNED,Participant Terms
Guild of Assassins: Customer Satisfaction Survey,$5.02,$0.00,2026-01-31 00:05:33.441000,2026-01-31 00:20:15.118000,INHUMED,APPROVED,Participant Terms
Identifying the 'Knurd' State in Sobriety Tests,$5.02,$0.00,2026-01-30 23:50:11.225000,2026-01-31 00:05:55.774000,COFFEE-X,APPROVED,Participant Terms
Perception of Time by The Monks of History,$5.02,$0.00,2026-01-30 23:35:44.992000,2026-01-30 23:50:22.441000,TICK-TOCK,APPROVED,Participant Terms
Binary choice study: Heads or Edge?,$1.05,$0.00,2026-01-30 19:30:22.556000,2026-01-30 19:35:55.112000,RINC-WIND,APPROVED,Participant Terms
Emotional Loss Study: Misplacing your Luggage (literally),$3.10,$0.00,2026-01-30 19:10:55.887000,,,RETURNED,Participant Terms
Usability Testing: The Clacks Semaphore System,£6.25,£0.00,2026-01-30 18:50:33.664000,,,RETURNED,Participant Terms
Employee research: Igors in the Workplace,£0.35,£0.00,2026-01-30 17:25:44.221000,2026-01-30 17:30:15.998000,ITH-GRT,APPROVED,Participant Terms
Working with Golems to answer a question,£1.65,£0.00,2026-01-30 16:48:55.553000,2026-01-30 16:55:22.331000,CLAY-FT,APPROVED,Participant Terms
Product Evaluation: Pointy Hats vs. Hoods,$0.85,$0.00,2026-01-30 16:40:11.889000,2026-01-30 16:42:55.447000,WIZARD,APPROVED,Participant Terms
Evaluation of swamp dragon setup web-app,£0.85,£0.00,2026-01-30 15:55:33.224000,2026-01-30 16:00:15.668000,BOOM,AWAITING REVIEW,Participant Terms
Study on the acceptance of magic-computer-interfaces,£3.75,£0.00,2026-01-30 15:00:44.112000,2026-01-30 15:15:22.993000,HEX-API,AWAITING REVIEW,Participant Terms
A study about 3 mins (measured in Pyramid time),£0.35,£0.00,2026-01-30 13:25:55.776000,,,RETURNED,Participant Terms
Studie zu Wohlbefinden in Ankh-Morpork,£0.85,£0.00,2026-01-30 10:35:22.334000,2026-01-30 10:42:55.118000,SMELL-1,AWAITING REVIEW,Participant Terms
Feegle-based Problem Solving (Crivens!),£1.85,£0.00,2026-01-30 10:22:44.992000,2026-01-30 10:35:11.226000,NAC-MAC,APPROVED,Participant Terms
Visual detection of Invisible Wizards,£12.50,£0.00,2026-01-28 12:30:15.554000,2026-01-28 13:35:22.998000,UNSEEN,APPROVED,Participant Terms
AI Videos - Evaluation of Imp-Painting,$5.02,$0.00,2026-01-30 04:30:55.112000,2026-01-30 04:45:22.664000,do-not-share-PAINT-2,APPROVED,Participant Terms
Arrows Task: Which way is Hubwards?,£0.85,£0.00,2026-01-30 01:25:33.887000,2026-01-30 01:30:15.441000,RIM-DIR,APPROVED,Participant Terms
Social Media Influencer Evaluation: CMOT Dibbler,$0.25,$0.00,2026-01-30 01:00:22.553000,2026-01-30 01:01:11.996000,SAUSAGE,APPROVED,Participant Terms
General Purchasing Habits for Dragon Chow,$2.55,$0.25,2026-01-29 23:05:44.221000,2026-01-29 23:08:55.334000,SWAMP,SCREENED OUT,Participant Terms
Study on Financial Behavior of Dwarves,$12.50,$0.00,2026-01-29 20:05:33.889000,2026-01-29 20:20:15.112000,GOLD-1,APPROVED,Participant Terms
Fun! Find emphasized words in Librarian's grunts,$2.65,$0.00,2026-01-29 19:50:22.556000,2026-01-29 20:05:44.998000,OOOK-2,APPROVED,Participant Terms
Resolving Goal Conflicts in Watchmen Scenarios,£18.50,£0.00,2026-01-29 17:50:11.334000,,,RETURNED,Participant Terms
Regional Wage Differences in Uberwald,£0.85,£0.00,2026-01-29 16:50:22.112000,2026-01-29 16:52:55.776000,DARK-1,AWAITING REVIEW,Participant Terms
Rating political statements by Lord Vetinari,£2.35,£0.00,2026-01-29 14:40:15.441000,,,RETURNED,Participant Terms
Trade In Your Degree (Unseen University Only),£0.35,£0.00,2026-01-29 14:30:55.228000,2026-01-29 14:32:44.113000,WIZZARD,APPROVED,Participant Terms
Study about Crypto Investment (in Gold Golems),£2.30,£0.00,2026-01-29 14:20:11.554000,2026-01-29 14:35:22.996000,TBD (technical glitch in the clacks),APPROVED,Participant Terms
Understanding Hex use and Mental/Emotional Well-being,£0.85,£0.55,2026-01-29 13:05:33.887000,2026-01-29 13:06:11.224000,ANTHILL,SCREENED OUT,Participant Terms
German sentences: Are they yelling or just talking?,£0.85,£0.00,2026-01-29 10:50:44.331000,2026-01-29 10:54:15.668000,NEIN-9,APPROVED,Participant Terms
Convincing without conflict - The Carrot Ironfoundersson Method,£0.45,£0.00,2026-01-29 10:20:55.992000,2026-01-29 10:22:22.441000,SWORD,APPROVED,Participant Terms
Musikausschnitte Bewerten: Rocks In (with insufferable pauses),£10.95,£0.15,2026-01-28 19:10:33.554000,2026-01-28 19:15:22.889000,MUSIC-1,SCREENED OUT,Participant Terms
Perform tasks and give your feedback to the Patrician,$20.50,$0.20,2026-01-28 19:05:11.221000,2026-01-28 19:06:44.335000,OBEY-1,SCREENED OUT,Participant Terms
Evaluation of names for digital Apps (Imp-powered),£0.85,£0.00,2026-01-28 18:45:22.113000,2026-01-28 18:48:55.776000,IMP-APP,AWAITING REVIEW,Participant Terms
Understanding Your Banking Choices (First National Bank of Ankh-Morpork),£1.65,£0.00,2026-01-28 18:15:33.998000,,,RETURNED,Participant Terms
Sentence-to-picture match: Is this a dragon or a kettle?,£1.15,£0.00,2026-01-28 16:55:11.442000,2026-01-28 17:00:22.881000,KETTLE,AWAITING REVIEW,Participant Terms
Practise advanced listening in Morporkian,£3.95,£0.00,2026-01-28 15:50:44.225000,2026-01-28 16:25:33.554000,OY-YOU,APPROVED,Participant Terms
Democratic Attitudes in the Shades,£0.35,£0.00,2026-01-28 15:35:11.668000,2026-01-28 15:36:22.993000,VOTE-1,AWAITING REVIEW,Participant Terms
Designing the interior user experience of a broomstick,£0.95,£0.00,2026-01-28 14:20:55.334000,2026-01-28 14:28:11.447000,FLY-1,APPROVED,Participant Terms
Visual detection of things that go bump in the night,£12.50,£0.00,2026-01-28 12:30:22.116000,2026-01-28 13:35:44.882000,BUMP-1,APPROVED,Participant Terms
User Experience Survey: The Luggage,£0.95,£0.00,2026-01-28 09:12:33.551000,2026-01-28 09:16:11.229000,TEETH,APPROVED,Participant Terms
Consumers’ Opinion on Troll Rights.,£3.65,£0.00,2026-01-28 09:05:44.887000,2026-01-28 09:12:22.553000,SILICON,APPROVED,Participant Terms
Medical Skincare Usage & Troll Sunblock Perception Survey,$1.89,$0.00,2026-01-28 08:50:11.332000,2026-01-28 08:58:44.665000,SPF-9000,APPROVED,Participant Terms
Effectiveness of Social Media for Destination Marketing: The Influence of Social Media on Intention to Visit The Dungeon Dimensions,$0.95,$0.00,2026-01-28 02:25:33.114000,2026-01-28 02:29:11.992000,BELOW,APPROVED,Participant Terms
Fun listening test: how good is an automated imp-based audio editor? (main),$3.75,$0.00,2026-01-28 01:45:22.558000,,,RETURNED,Participant Terms
Rate Employees' Writing (Zombie Division),£3.15,£0.00,2026-01-28 00:30:11.446000,,,RETURNED,Participant Terms
Modernes Hamstern in Großstädten (The Rat King study),£0.35,£0.00,2026-01-27 21:10:55.221000,2026-01-27 21:12:33.884000,SQUEAK,APPROVED,Participant Terms
Judgment and Decision-Making in the presence of Death,£0.75,£0.00,2026-01-27 18:15:22.663000,,,RETURNED,Participant Terms
Values in the Virtual Age: Unpacking How Work Location Transforms What Employees Want (The Clacks edition),$0.45,$0.00,2026-01-27 16:10:44.112000,2026-01-27 16:11:22.558000,OVERHEAD,APPROVED,Participant Terms
which-tool-2-use-final: Wand or Staff?,£4.65,£0.00,2026-01-27 15:40:11.996000,2026-01-27 16:05:33.224000,MAGIC,AWAITING REVIEW,Participant Terms
A survey on decision-making / Umfrage zur Entscheidungsfindung (Coin toss vs. Prophecy),£3.15,£0.00,2026-01-27 15:30:22.887000,2026-01-27 15:40:55.113000,OMENS,AWAITING REVIEW,Participant Terms
Numerical Reasoning Test A (Troll Counting: One, Two, Many, Lots),£2.30,£0.00,2026-01-27 14:35:11.554000,2026-01-27 14:52:33.992000,COUNT-1,APPROVED,Participant Terms
A study about Current Events awareness (Have you read The Times?),£0.35,£0.00,2026-01-27 13:00:22.118000,2026-01-27 13:01:44.775000,NEWS,APPROVED,Participant Terms
Pilot Test: PhenoLabs.ai - New Attention Monitoring Technology (Desktop Only - Demons included),£3.15,£0.00,2026-01-27 12:35:55.221000,,,RETURNED,Participant Terms
Consumer Journey - Phase 2 (to the Wyrmberg),£1.15,£0.00,2026-01-27 12:20:11.663000,2026-01-27 12:28:44.332000,DRAGON,AWAITING REVIEW,Participant Terms
Where should I park? (earn bonus payments for not blocking the Librarian!),$2.10,$0.00,2026-01-26 23:28:33.441000,2026-01-26 23:38:11.558000,PARK-1,APPROVED,Participant Terms
Assign Work to Chefs in Your Restaurant! (20-25 mins; $5.00 - Must accommodate Dwarves),$5.00,$0.00,2026-01-26 15:30:11.224000,2026-01-26 15:45:55.881000,CHEF-1,APPROVED,Participant Terms
Mental Health and Decision-Making 1 (Influence of The Dark),£6.85,£0.00,2026-01-26 13:50:22.665000,2026-01-26 14:20:44.113000,MIND-1,AWAITING REVIEW,Participant Terms
Entwicklung zweier Supplement-Komplexe (Dried Frog Pills),£0.75,£0.00,2026-01-26 13:22:55.992000,2026-01-26 13:26:33.447000,FROG,APPROVED,Participant Terms
Wordle-Studie (Using only Octarine letters),£7.65,£0.00,2026-01-26 11:05:11.334000,2026-01-26 11:55:22.885000,WORDS,APPROVED,Participant Terms
Imagination Study (Visualizing the Great A'Tuin),£9.55,£0.00,2026-01-26 07:55:33.662000,2026-01-26 08:45:11.229000,TURTLE,APPROVED,Participant Terms
How adults learn German sentences (by shouting),£3.15,£0.00,2026-01-25 23:48:22.115000,2026-01-25 23:55:55.772000,LOUD,APPROVED,Participant Terms
Quick (10 second) Image Comparison (Spot the Vampire),£0.16,£0.00,2026-01-25 20:30:11.448000,2026-01-25 20:30:44.882000,VAMP,APPROVED,Participant Terms
Perspectives About Using Race or Ethnicity in Medical Calculators (Discworld species edition),£2.35,£0.00,2026-01-25 19:50:33.551000,2026-01-25 19:59:11.226000,SPECIES,AWAITING REVIEW,Participant Terms
The role of stories in human reasoning and decision-making (Narrativium impact),£3.85,£0.00,2026-01-25 18:45:22.993000,2026-01-25 19:08:44.665000,STORY,APPROVED,Participant Terms
Wie gut spricht die KI (Imp-powered Text-to-Speech),$4.25,$0.00,2026-01-25 16:40:55.112000,2026-01-25 16:55:33.884000,IMP-SPK,APPROVED,Participant Terms
[30 Minuten] Eine psychologische Umfrage zur Bewertung und Wertschätzung von Ikebana (japanische Blumensteckkunst - with Agatean Empire flora),£3.75,£0.00,2026-01-25 09:35:11.224000,2026-01-25 09:56:44.551000,FLOWER,APPROVED,Participant Terms
Differences in perceptions of leadership (Vimes vs Vetinari),£0.85,£0.00,2026-01-25 09:30:22.668000,,,RETURNED,Participant Terms
Social Evaluation (Guild Members only),$1.55,$0.00,2026-01-24 22:58:44.331000,2026-01-24 23:10:22.995000,GUILD,APPROVED,Participant Terms
Evaluating News Topic (The Ankh-Morpork Times),£1.15,£0.00,2026-01-24 14:25:11.884000,2026-01-24 14:31:33.226000,TRUTH,AWAITING REVIEW,Participant Terms
Individual Differences Questionnaire (Are you a Feegle?),£0.60,£0.00,2026-01-24 12:55:44.112000,2026-01-24 13:02:11.553000,WEE-FREE,APPROVED,Participant Terms
Vorstudie zur Bewertung von Geräuschen (Unseen University Library),£0.40,£0.00,2026-01-24 11:25:33.996000,2026-01-24 11:27:15.228000,SILENCE,APPROVED,Participant Terms
Schuld und Strafe im Rechtssystem (Commander Vimes' perspective),£2.80,£0.00,2026-01-24 11:10:44.551000,2026-01-24 11:22:55.882000,LAW,APPROVED,Participant Terms
Donation decisions Copy (The Sunshine Sanctuary for Sick Dragons),£0.35,£0.00,2026-01-24 01:03:22.114000,2026-01-24 01:05:11.663000,CHARITY,APPROVED,Participant Terms
A study about pasttimes (Thud! Strategies),$1.25,$0.00,2026-01-23 22:04:11.558000,2026-01-23 22:10:33.229000,THUD,APPROVED,Participant Terms
Studie zu Kaufverhalten (Sausage in a Bun),£0.80,£0.00,2026-01-23 19:08:44.332000,2026-01-23 19:12:15.996000,YUM,APPROVED,Participant Terms
A Study About Avertising (CMOT Dibbler's latest venture),£0.25,£0.00,2026-01-23 17:42:55.114000,2026-01-23 17:48:22.553000,SELL,AWAITING REVIEW,Participant Terms
Sprachverwendung in der professionellen Kommunikation (Guild speak),£0.25,£0.00,2026-01-23 17:14:33.882000,2026-01-23 17:15:44.117000,SPEAK,APPROVED,Participant Terms
Studie: Petitionen zum Tierschutz (Saving the Swamp Dragon),£0.65,£0.00,2026-01-23 15:55:11.226000,,,RETURNED,Participant Terms
Umfrage zu Zeitungsartikel (The Truth),£1.90,£0.00,2026-01-23 13:45:22.551000,2026-01-23 14:15:33.884000,NEWS-2,APPROVED,Participant Terms
Evaluate Image Editing Output Quality (Iconograph focus),$3.30,$0.00,2026-01-23 13:35:44.112000,2026-01-23 13:47:55.226000,PIC-BOX,PARTIALLY APPROVED,Participant Terms
Share Your Thoughts on an Unmanned Retail Experience (The Luggage Shop),£1.25,£0.00,2026-01-23 10:40:22.885000,2026-01-23 10:46:33.119000,SHOP,APPROVED,Participant Terms
AI Workplace Pulse — part of the AI Ecosystems Readiness Assessment™ (Hex integration),$1.25,$0.00,2026-01-22 22:30:11.554000,2026-01-22 22:37:44.992000,HEX-2,APPROVED,Participant Terms
Brand Extension Evaluation Study (Dibbler's Meat Pies),£0.85,£0.00,2026-01-22 22:20:55.221000,2026-01-22 22:24:11.886000,PIE,APPROVED,Participant Terms
Meinung zu KI im Finanzamt (Using Hex for taxes),£1.25,£0.00,2026-01-22 21:52:33.447000,2026-01-22 21:59:15.113000,TAX,APPROVED,Participant Terms
Schedule Breaks for Your Workers! (Golems need not apply),$5.02,$0.00,2026-01-22 18:28:44.115000,2026-01-22 18:52:55.882000,BREAK,APPROVED,Participant Terms
Soft skills and personality test (Are you suited for the Watch?),£1.85,£0.00,2026-01-22 17:12:33.996000,,,RETURNED,Participant Terms
Kompositionalität deutscher zusammengesetzter Substantive im Kontext (47/58) - German compound noun hell,£2.00,£0.00,2026-01-22 16:55:11.552000,2026-01-22 17:02:44.118000,WORD-1,APPROVED,Participant Terms
Watch a short game video (Thud match),$0.65,$0.00,2026-01-22 12:58:22.335000,,,RETURNED,Participant Terms
Social Situations (Dining with a Vampire),£1.75,£0.00,2026-01-22 12:15:44.881000,2026-01-22 12:26:11.225000,BITE,AWAITING REVIEW,Participant Terms
Beurteilung von Rabatten (Cut-me-own-throat prices),£0.55,£0.12,2026-01-22 10:25:33.446000,2026-01-22 10:29:15.118000,SALE,APPROVED,Participant Terms
Lexical Decision (Is it a word or a spell?),£7.15,£0.00,2026-01-22 09:58:44.221000,,,RETURNED,Participant Terms
Quick & Easy: Choose Between Two Images (Which one has more magic?),£2.05,£0.00,2026-01-21 23:45:22.885000,2026-01-21 23:46:55.334000,MAGIC-PIC,APPROVED,Participant Terms
Eindeutig mehrdeutig: Wie viele Bedeutungen hat ein Wort wirklich? (German Ambiguity),£3.10,£0.00,2026-01-21 16:50:33.112000,2026-01-21 17:02:11.558000,MEANING,APPROVED,Participant Terms
Einfluss von Produktbildern auf Wahrnehmung und Kaufabsicht (Glamour on the Disc),£0.20,£0.00,2026-01-21 16:30:55.447000,,,RETURNED,Participant Terms
Studie zu nachhaltigen Investments (Re-annual plants futures),£0.85,£0.00,2026-01-21 15:58:22.884000,2026-01-21 16:02:44.115000,FUTURE,APPROVED,Participant Terms
Study on First Impressions (Meeting a Troll),£5.65,£0.00,2026-01-21 15:12:11.336000,2026-01-21 15:35:44.882000,FIRST,APPROVED,Participant Terms
Cannabis Attitudes and Policy Perception Study (Discworld Herbs),£6.15,£0.00,2026-01-21 14:45:33.551000,2026-01-21 15:02:55.228000,HERB,APPROVED,Participant Terms
InnoProtein: Attitudes towards new alternative proteins (Rat-on-a-stick alternatives),£1.35,£0.00,2026-01-21 11:35:22.449000,2026-01-21 11:44:15.992000,PROT,APPROVED,Participant Terms
Travel usability study for mobile users (Broomstick navigation),$4.05,$0.00,2026-01-21 10:50:44.116000,,,RETURNED,Participant Terms
A study about Consumer Choice within the housing market (Living in the Shades),£0.65,£0.00,2026-01-21 10:21:33.882000,2026-01-21 10:23:55.441000,HOUSE,AWAITING REVIEW,Participant Terms
